Date,Open,High,Low,Close,Adj Close,Volume
2017-04-12,19306.500000,19433.800781,19306.500000,19423.900391,19423.900391,328066200
2017-04-13,19423.900391,19525.300781,19337.900391,19525.300781,19525.300781,325660300
2017-04-18,19525.300781,19527.199219,19273.699219,19297.900391,19297.900391,388774300
2017-04-19,19297.900391,19505.300781,19283.800781,19417.800781,19417.800781,371147700
2017-04-20,19417.800781,19450.099609,19305.000000,19378.800781,19378.800781,329674900
2017-04-21,19378.800781,19415.099609,19337.900391,19358.400391,19358.400391,309600000
2017-04-24,19358.400391,19621.699219,19357.500000,19602.800781,19602.800781,300440200
2017-04-25,19602.800781,19647.599609,19582.300781,19582.300781,19582.300781,332084800
2017-04-26,19582.300781,19684.000000,19525.599609,19678.800781,19678.800781,371693800
2017-04-27,19678.800781,19678.800781,19576.699219,19636.599609,19636.599609,285532900
2017-04-28,19636.599609,19673.900391,19610.900391,19615.400391,19615.400391,326495100
2017-05-02,19615.400391,19805.300781,19615.400391,19805.300781,19805.300781,359264300
2017-05-03,19805.300781,19805.599609,19652.199219,19683.400391,19683.400391,325105600
2017-05-04,19683.400391,19711.800781,19617.900391,19680.800781,19680.800781,347689100
2017-05-05,19680.800781,19699.599609,19600.400391,19699.599609,19699.599609,320182600
2017-05-08,19699.599609,19745.599609,19655.199219,19729.699219,19729.699219,320492300
2017-05-09,19729.699219,19835.699219,19729.699219,19817.000000,19817.000000,342151400
2017-05-10,19817.000000,19890.099609,19806.300781,19876.800781,19876.800781,348406900
2017-05-11,19876.800781,19879.699219,19748.800781,19795.699219,19795.699219,428249800
2017-05-12,19795.699219,19818.099609,19727.599609,19763.000000,19763.000000,287515900
2017-05-15,19763.000000,19825.800781,19735.800781,19751.000000,19751.000000,294317200
2017-05-16,19751.000000,19875.900391,19730.599609,19875.900391,19875.900391,328581900
2017-05-17,19875.900391,19876.900391,19737.000000,19773.599609,19773.599609,329060500
2017-05-18,19773.599609,19773.800781,19538.099609,19691.599609,19691.599609,378247700
